Name,Address,Type,Company,Released,Blockchain,Category,Subcategory,Attributes,Description,MM/YYYY,MM,YY
BoredApeYachtClub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,NFT,0,04/2021,0,0.0,0.0,"['Animal', ' Ape', ' Cartoon', ' Membership', ' Metaverse', ' Yacht']","The Bored Ape Yacht Club is a collection of 10,000 unique Bored Ape NFTs",04/2021,04,2021
CRYPTOPUNKS,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,NFT,0,06/2017,0,0.0,0.0,"['Cartoon', ' Collectable', '  Pixelated']","CryptoPunks launched as a fixed set of 10,000 items in mid -2017 and became one of the inspirations for the ERC-721 standard",06/2017,06,2017
MutantApeYachtClub,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,NFT,0,08/2021,0,0.0,0.0,"['Animal', ' Ape', ' Mutant', ' Membership', ' Yacht', ' Metaverse']","The MUTANT APE YACHT CLUB is a collection of up to 20,000 Mutant Apes that can only be created by exposing an existing Bored Ape to a vial of MUTANT SERUM or by minting a Mutant Ape in the public sale",08/2021,08,2021
Decentraland,0xF87E31492Faf9A91B02Ee0dEAAd50d51d56D5d4d,NFT,1,02/2020,0,1.0,1.0,"['Virual Land', ' Parcel', ' Land Asset', ' Virtual World', ' Metaverse']","Decentraland is an Ethereum blockchain-powered virtual world, developed and owned by its users, who can create, experience, and monetize content and applications",02/2020,02,2020
ArtBlocks,0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270,NFT,2,07/2021,0,0.0,2.0,"['Artwork', ' Tiles', ' Abstact', ' Unique', ' Collectible', ' TileDAO', ' Virtual Art']",There is one Tile generated for every possible ETH wallet address each representing a unique identity in the decentralized ecosystem,07/2021,07,2021
Sandbox,0x5CC5B05a8A13E3fBDB0BB9FcCd98D38e50F90c38,NFT,3,11/2021,0,1.0,1.0,"['Virtual Land', ' Gaming', ' Voxel', ' Pixelated']",The Sandbox is a community driven platform where creators can monetize voxel assets and gaming experiences on the blockchain,11/2021,11,2021
CloneX,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,NFT,4,11/2021,0,0.0,0.0,"['Cartoon', ' Collectible', ' Takashi Murakami', ' Next-Gen', ' Futuristic']","20,000 next-gen Avatars, by RTFKT and Takashi Murakami",11/2021,11,2021
Azuki,0xed5af388653567af2f388e6224dc7c4b3241c544,NFT,5,01/2022,0,0.0,0.0,"['Cartoon', ' Membership', ' Metaverse', ' Anime', ' Collectible']","Azuki starts with a collection of 10,000 avatars that give you membership access to The Garden: a corner of the internet where artists, builders, and web3 enthusiasts meet to create a decentralized future",01/2022,01,2022
Meebits,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,NFT,0,05/2021,0,0.0,0.0,"['Cartoon', ' Collectible', ' Voxel', ' Characters', ' Pixelated']","The Meebits are 20,000 unique 3D voxel characters, created by a custom generative algorithm, then registered on the Ethereum blockchain",05/2021,05,2021
Doodles,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,NFT,6,10/2021,0,0.0,0.0,"['Cartoon', ' Collectible', ' Burnt Toast', ' Exclusive', ' Community']","A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000",10/2021,10,2021
